Category 1,Category 2,Category 3,Product Description,Price,Currency
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Femfresh Intimate Hygiene Daily Intimate Wash 250ml,1.49,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,FemFresh Ultimate Care Active Fresh Wash 250ml,1.84,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Femfresh Ultimate Care Soothing Wash 250ml,1.82,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Femfresh Intimate Skincare Pocket Wipes 10s,1.69,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Femfresh wipes 25s,1.57,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Boots Gentle Feminine Wash 200ml,2.29,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Boots Fragrant  Disposal Bag,0.99,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Vagisil ProHydrate external hydrating gel 30g,8.89,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Vagisil Itch Relief intimate wipes - 12 pack,4.59,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Vagisil ProHydrate intimate wash 250ml,5.0,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Vagisil ProHydrate Internal Hydrating Gel - 6 x 5g pre-filled applicators,11.99,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Vagisan MoistCream - 50g,14.99,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Lil-Lets Teens Freshen-up Intimate Wipes,1.59,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Vagisil pH Balance Wash 250ml,6.0,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Canesfresh Feminine Wash Mousse 150ml,8.99,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Canesfresh Soothing Feminine Wash Gel 200ml,8.55,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Canesintima Intimate Lubricating Moisturisor 50ml,13.99,£
Health-pharmacy,Condoms-sexual-health,Feminine-hygiene-and-health,Regelle Long Lasting Vaginal Moisturiser - 12 pack,16.99,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Viagra Connect 50mg film-coated tablets - 4 tablets,19.99,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Viagra Connect 50mg film-coated tablets - 8 tablets,34.99,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Viagra Connect 50mg film-coated tablets - 12 tablets - Online Only,50.99,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Viagra Connect 50mg film-coated tablets - 24 tablets - Online Only,99.99,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Stud 100 Densensitizing Spray for Men - 12g,5.99,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Below the Belt Grooming For Men Fresh & Dry Balls Fresh 75ml,5.95,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Below the Belt Grooming For Men Instant Clean Balls Fresh 75ml,5.95,£
Health-pharmacy,Condoms-sexual-health,Mens-hygiene-and-health,Spermcheck Male Fertility Test,29.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Naturals Intimate Gel - 100ml,9.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Intense Gel - 10ml,10.29,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Intense Condoms - 12 Pack,14.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Intense Condoms - 6 Pack,9.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Extra Safe Condoms - 30 Condoms,19.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Sensilube Intimate Moisturising Lubricant Gel - 40ml,6.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Play Feel Lubricant Gel - 100ml,6.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Extra Safe Condoms - 3 Pack,3.49,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Thin Feel Condoms - 3 Pack,3.49,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Play Massage 2-in-1 Soothing Gel - 200ml,7.29,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Intense Vibrations Ring,6.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Mates SKYN Original Condoms (Non-Latex) - 10 Pack,10.5,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Mates SKYN Extra Lubicated Condoms (Non-Latex) - 10 Pack,11.0,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Mates SKYN Large Condoms (Non-Latex) - 10 Pack,10.5,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Intense Delight Vibrating Bullet,10.5,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Play Perfect Glide Lubricant Gel - 50ml,9.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Play Massage 2-in-1 Sensual Lube - 200ml,7.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Boots Lubricating Jelly - 50g,2.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Boots Lubricating Jelly - 100g,4.29,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,"Durex Pleasure Ring, Pack of 1",6.29,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Invisible Extra Thin Extra Sensitive Condoms - 6 Pack,9.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex Invisible Extra Thin Extra Sensitive Condoms - 12 Pack,14.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Boots Silky Lubricant - 75ml,3.99,£
Health-pharmacy,Condoms-sexual-health,Sexual-pleasure-shop-all,Durex X-Large Comfort Condoms - 12 Pack,9.99,£
Health-pharmacy,Condoms-sexual-health,Intimate-hair-removal,Wilkinson Sword Quattro for Women Razor,7.99,£
Health-pharmacy,Condoms-sexual-health,Intimate-hair-removal,"Panasonic ER-GB80 Wet & Dry Beard, Hair and Body Trimmer with 3 Attachments",79.99,£
